name,AB_CBF,HT_CBF,Ibk_CBF,J48_CBF,Jrip_CBF,Log_CBF,MLP_CBF,NB_CBF,REP_CBF,RF_CBF,SGD_CBF,SVM_CBF
fri_c2_1000_10.arff,0.9135057,0.7437191,0.7434729,0.8965927,0.9070609,0.7848113,0.7295157,0.7401888,0.9091954,0.9767855,0.7332512,0.7546388
fri_c2_1000_25.arff,0.9158,0.7392662,0.617853,0.8437084,0.8961744,0.7574515,0.7352651,0.7388796,0.9120594,0.9604333,0.6880445,0.7259951
fri_c2_1000_5.arff,0.9339382,0.7701919,0.8828474,0.9078957,0.9060551,0.7953222,0.7557542,0.7701916,0.9235601,0.9807987,0.7690991,0.7822906
fri_c2_1000_50.arff,0.9070842,0.7497171,0.5606379,0.8478656,0.8815136,0.7592624,0.7418926,0.7517303,0.8757437,0.9346394,0.6721074,0.6945568
fri_c2_250_10.arff,0.9438611,0.8331111,0.7763888,0.8665278,0.8434026,0.8240554,0.8187221,0.8331111,0.9090415,0.953,0.786597,0.8029166
fri_c2_250_25.arff,0.9024891,0.687013,0.5457585,0.797952,0.812013,0.7288796,0.6922411,0.7244006,0.7903597,0.9319346,0.6789336,0.6696263
fri_c2_250_5.arff,0.8987012,0.7493507,0.8142859,0.8665584,0.8483767,0.77013,0.7353896,0.7487013,0.8123377,0.967857,0.7470779,0.7769481
fri_c2_250_50.arff,0.8416085,0.7188813,0.5333291,0.7806112,0.830578,0.7377372,0.6845072,0.7312605,0.8264527,0.8995962,0.660194,0.697648
fri_c2_500_10.arff,0.9310477,0.7476881,0.7068462,0.9287254,0.9014256,0.7546723,0.7418272,0.7486733,0.91452,0.9757035,0.7601582,0.7925715
fri_c2_500_25.arff,0.8917351,0.6635478,0.5776528,0.8217107,0.8637491,0.665893,0.6820229,0.6781607,0.8487584,0.9248158,0.5671095,0.5853226
fri_c2_500_5.arff,0.9086077,0.7452683,0.8757839,0.8871142,0.8681301,0.7708128,0.7290166,0.743788,0.8950426,0.967996,0.7084238,0.7344335
fri_c2_500_50.arff,0.9148257,0.7703079,0.5514286,0.8530943,0.8649291,0.7598449,0.7689162,0.777303,0.8689975,0.9304147,0.663986,0.7176436
fri_c3_100_10.arff,0.6791667,0.4916667,0.5666667,0.8249999,0.7374999,0.6374999,0.6874997,0.6250001,0.7666666,0.8770834,0.5041668,0.5125001
fri_c3_100_25.arff,0.6434167,0.4469999,0.5691666,0.53975,0.7168333,0.5483333,0.462,0.5204999,0.6081666,0.7337499,0.5608334,0.5866667
fri_c3_100_5.arff,0.8721667,0.6658335,0.7916667,0.7719999,0.6570834,0.765,0.6945,0.6618335,0.671,0.9091667,0.6483333,0.6708333
fri_c3_100_50.arff,0.8422618,0.525,0.5755952,0.6714286,0.721131,0.5199405,0.4934524,0.5916666,0.6964286,0.8124999,0.494643,0.4392859
fri_c3_1000_10.arff,0.9143263,0.7036123,0.7215909,0.8812501,0.8677556,0.7209009,0.7211852,0.7099027,0.903328,0.9718141,0.663961,0.6539771
fri_c3_1000_25.arff,0.9119924,0.7205044,0.5487535,0.8795593,0.866623,0.7258601,0.713268,0.7236631,0.8980382,0.9665207,0.6493777,0.6595616
fri_c3_1000_5.arff,0.8890814,0.7183743,0.882923,0.8889459,0.8754998,0.7163946,0.6765138,0.7191972,0.8913332,0.9730368,0.6438854,0.6363338
fri_c3_1000_50.arff,0.9019704,0.7186501,0.5839143,0.8352529,0.8649122,0.7287276,0.6841675,0.7169343,0.8898778,0.9386269,0.650698,0.6656186
fri_c3_250_10.arff,0.9443847,0.6446595,0.642778,0.8279637,0.8587412,0.7034798,0.6430902,0.6707543,0.8342866,0.9683315,0.6338577,0.5953714
fri_c3_250_25.arff,0.915955,0.6834582,0.5917,0.7970446,0.8305278,0.686064,0.6662504,0.6828089,0.7744173,0.9250998,0.6658423,0.639423
fri_c3_250_5.arff,0.8802596,0.7264242,0.8374675,0.806684,0.8325327,0.7527446,0.6664936,0.7179827,0.8294416,0.9645408,0.652619,0.6631602
fri_c3_250_50.arff,0.9129697,0.5731603,0.4962556,0.8434328,0.863987,0.611013,0.5969653,0.6277057,0.825329,0.8982598,0.5779222,0.5640259
fri_c3_500_10.arff,0.8842259,0.660196,0.6667672,0.8489081,0.8387264,0.6981416,0.6696852,0.6730142,0.8383825,0.9631954,0.6389957,0.637223
fri_c3_500_25.arff,0.9013798,0.6767859,0.5849026,0.8629869,0.8493506,0.6873376,0.6296267,0.681169,0.840909,0.9488636,0.6357142,0.6095779
fri_c3_500_5.arff,0.8643279,0.666496,0.8622142,0.8563246,0.8357949,0.7152778,0.694638,0.6644935,0.8506871,0.9633087,0.66272,0.6416426
fri_c3_500_50.arff,0.8741753,0.6653324,0.5214844,0.8242407,0.8345351,0.6791667,0.6270562,0.6762109,0.8353897,0.9167404,0.6028325,0.6308384
fri_c4_100_10.arff,0.8529167,0.7166667,0.615,0.6636666,0.69,0.7053334,0.6483333,0.7126667,0.7344166,0.9029166,0.6158333,0.5958333
fri_c4_100_100.arff,0.8304166,0.6745001,0.4966667,0.6585,0.7541666,0.4940833,0.586,0.6745001,0.8064166,0.7679167,0.5558333,0.5383333
fri_c4_100_25.arff,0.8019167,0.7718333,0.6233333,0.7501667,0.7388333,0.68,0.7123333,0.7718333,0.7517501,0.8895834,0.6816667,0.6608334
fri_c4_100_50.arff,0.8698334,0.4571666,0.5574999,0.7538333,0.6893334,0.3769168,0.4096667,0.4913333,0.7666667,0.7360833,0.4666667,0.475
fri_c4_1000_10.arff,0.9043629,0.7050933,0.7271104,0.8553776,0.852496,0.7156656,0.6805196,0.7062096,0.8813921,0.9662134,0.6442371,0.6345781
fri_c4_1000_100.arff,0.9268971,0.6955557,0.5261906,0.8548031,0.8737097,0.6920281,0.6513832,0.6859105,0.8998149,0.9125771,0.6256549,0.6336659
fri_c4_1000_25.arff,0.9044317,0.6742992,0.5799524,0.872232,0.8836402,0.6795873,0.6613445,0.6775158,0.8909941,0.9581874,0.6287322,0.6262166
fri_c4_1000_50.arff,0.8680194,0.6985593,0.5375,0.8236203,0.8747159,0.7112825,0.6509536,0.7063312,0.8750407,0.9285103,0.6091719,0.620698
fri_c4_250_10.arff,0.8637487,0.5774308,0.6872919,0.7886904,0.7544788,0.6728439,0.6478438,0.6907344,0.7825134,0.9235181,0.6436231,0.634911
fri_c4_250_100.arff,0.8902596,0.6402597,0.6009739,0.8068181,0.7610391,0.6045455,0.6376623,0.6844156,0.7665586,0.8633115,0.6058441,0.5564934
fri_c4_250_25.arff,0.8721945,0.6856477,0.6309233,0.8742548,0.810889,0.6662921,0.6293831,0.7197052,0.8182402,0.9203961,0.5980729,0.6057652
fri_c4_250_50.arff,0.8732517,0.5730437,0.5346194,0.7915542,0.7793413,0.6287629,0.5989843,0.6515402,0.7542499,0.8553321,0.5948219,0.5925991
fri_c4_500_10.arff,0.8920225,0.6784676,0.7653116,0.8090088,0.8582922,0.7107797,0.6918279,0.6802391,0.8619246,0.9600779,0.6646768,0.6520938
fri_c4_500_100.arff,0.9012288,0.6922638,0.5128152,0.8049523,0.8587542,0.6592534,0.6794326,0.6901516,0.8669932,0.8841247,0.596242,0.617484
fri_c4_500_25.arff,0.91609,0.7106583,0.6200739,0.8692987,0.8597936,0.7197753,0.6504441,0.7160322,0.8798833,0.9481304,0.6437267,0.6245428
fri_c4_500_50.arff,0.8936545,0.6633889,0.5199577,0.8066344,0.8539933,0.6949825,0.6656598,0.6649906,0.8552451,0.9211411,0.622329,0.6342733
fried.arff,0.9185733,0.9482455,0.8246139,0.9109433,0.9206646,0.9159891,0.911726,0.9453622,0.9449231,0.9806594,0.8340704,0.8387998
